IMGVR_UViG_2551306162_000001	2551306162	2551352814	whole	Host-associated;Human;Unclassified;Unclassified	vOTU_00226068	94472	Linear	0.9555	High-confidence	87.85	0.00	Genome fragment	182;170;12;59	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia thailandica	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2639762784_000001	2639762784	2639792426	whole	;;;	vOTU_00236298	85284	Linear	0.9037	High-confidence	94.30	0.00	High-quality	124;124;0;44	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp000829695	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2671180083_000001	2671180083	2671191265	whole	;;;	vOTU_00240919	92061	Linear	0.9055	High-confidence	100.00	0.00	High-quality	134;134;0;49	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp900187385	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2675903130_000002	2675903130	2675939236	whole	Environmental;Aquatic;Marine;Oceanic	vOTU_00241874	62152	Direct terminal repeat	0.9644	High-confidence	100.00	0.00	High-quality	92;92;0;51	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces indicus	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2687453697_000001	2687453697	2687457290	whole	;;;	vOTU_00240919	91273	Linear	0.9106	High-confidence	100.00	0.00	High-quality	134;134;0;48	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp900187385	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2708742533_000001	2708742533	2708748374	whole	;;;	vOTU_00245440	55889	Linear	0.8219	High-confidence	64.02	27.42	Genome fragment	67;67;0;16	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__Oligoflexaceae;g__Pseudobacteriovorax;s__Pseudobacteriovorax antillogorgiicola	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2731639226_000001	2731639226	2731647110	whole	;;;	vOTU_00240919	92066	Linear	0.9195	High-confidence	100.00	0.00	High-quality	133;133;0;49	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp900187385	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2739367648_000001	2739367648	2739377022	whole	;;;	vOTU_00240919	92067	Linear	0.9175	High-confidence	100.00	0.00	High-quality	135;135;0;49	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp900187385	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2765235989_000002	2765235989	2765261228	whole	;;;	vOTU_00250710	83134	Linear	0.9262	High-confidence	91.93	0.00	High-quality	103;103;0;46	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp000719775	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
IMGVR_UViG_2772190748_000001	2772190748	2772209228	whole	Environmental;Terrestrial;Soil;Unclassified	vOTU_00251065	26987	Linear	0.9619	High-confidence	65.98	0.00	Genome fragment	38;38;0;18	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;	geNomad	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Streptosporangium;s__Streptosporangium amethystogenes	Isolate taxonomy	geNomad v1.1.0 (10.5281/zenodo.7015982)
